"orig_name","clean_name","match_cos","gvkey","cos_score"
"Allegheny Energy Inc.","allegheny energy inc","ALLEGHENY ENERGY INC",1279,100
"ALLEGHENY ENERGY INC.","allegheny energy inc","ALLEGHENY ENERGY INC",1279,100
"Allegheny Energy Inc. PAC","allegheny energy inc pac","ALLEGHENY ENERGY INC",1279,94.5951349861
"ALLEGHENY INTERNATIONAL INC","allegheny intl inc","ALLEGHENY ENERGY INC",1279,83.4176937704
"ALLEGHENY LUDLUM INDUSTRIES INC","allegheny ludlum industries inc","ALLEGHENY LUDLUM CORP",13708,88.6767355688
"ALLEGHENY LUDLUM STEEL CORPORATION","allegheny ludlum steel corp","ALLEGHENY LUDLUM CORP",13708,93.0729946957
"ALLEGIANCE TELECOM INC","allegiance telecom inc","ALLEGIANCE TELECOM INC",112179,100
"Allegiance Telecom Inc. PAC","allegiance telecom inc pac","ALLEGIANCE TELECOM INC",112179,94.1144009823
"ALLEGIANT TRAVEL COMPANY","allegiant travel co","ALLEGIANT TRAVEL CO",175007,100
"ALLERGAN INC","allergan inc","ALLERGAN INC",15708,100
"ALLERGAN, INC.","allergan inc","ALLERGAN INC",15708,100
"ALLETE INC","allete inc","ALLETE INC",7437,100
"ALLETE, INC.","allete inc","ALLETE INC",7437,100
"ALLFIRST FINANCIAL INC","allfirst financial inc","ALLFIRST FINANCIAL INC",4715,100
"Alliance One International Inc.","alliance one intl inc","ALLIANCE ONE INTL INC",3937,100
"ALLIANCE ONE INTERNATIONAL, INC.","alliance one intl inc","ALLIANCE ONE INTL INC",3937,100
"ALLIANT ENERGY CORP","alliant energy corp","ALLIANT ENERGY CORP",11554,100
"Alliant Energy Corporation","alliant energy corp","ALLIANT ENERGY CORP",11554,100
"ALLIANT ENERGY CORPORATION","alliant energy corp","ALLIANT ENERGY CORP",11554,100
"ALLIED BANCSHARES INC","allied bancshares inc","ALLIED BANCSHARES INC-TX",1290,87.3583617132
"Allied Capital Corporation","allied capital corp","ALLIED CAPITAL CORP",116004,100
"ALLIED GROUP INC","allied group inc","ALLIED GROUP INC",16635,100
"ALLIED VAN LINES INC","allied van lines inc","ALLIED VAN LINES INC",1306,100
"ALLIS-CHALMERS CORPORATION","allis chalmers corp","ALLIS-CHALMERS ENERGY INC",1308,85.1125171636
"Allstate Insurance Company","allstate insurance co","ALLSTATE LIFE INSURANCE CO",263562,89.1848822542
"ALLSTATE INSURANCE COMPANY","allstate insurance co","ALLSTATE LIFE INSURANCE CO",263562,89.1848822542
"ALLSTATE PAC","allstate pac","ALLSTATE CORP",28349,84.604098206
"ALLTEL CORPORATION ALLTEL SERVICE CORP","alltel corp alltel service corp","ALLTEL CORP",1318,93.2055209372
"ALLWASTE INC","allwaste inc","ALLWASTE INC",12842,100
"ALMOST FAMILY INC","almost family inc","ALMOST FAMILY INC",13800,100
"ALMOST FAMILY, INC.","almost family inc","ALMOST FAMILY INC",13800,100
"ALPHA NATURAL RESOURCES, INC.","alpha natural resources inc","ALPHA NATURAL RESOURCES INC",162448,100
"Altria Group Inc.","altria group inc","ALTRIA GROUP INC",8543,100
"ALTRIA GROUP INC.","altria group inc","ALTRIA GROUP INC",8543,100
"Altria Group, Inc.","altria group inc","ALTRIA GROUP INC",8543,100
"ALUMAX INC","alumax inc","ALUMAX INC",29120,100
"AM GENERAL CORPORATION","am general corp","AM GENERAL CORP",63547,100
"AMALGAMATED SUGAR CO/ CONTRAN CORP","amalgamated sugar co contran corp","AMALGAMATED SUGAR CO",1362,90.4364871183
"AMALGAMATED SUGAR COMPANY","amalgamated sugar co","AMALGAMATED SUGAR CO",1362,100
"AMALGAMATED SUGAR COMPANY LLC PAC","amalgamated sugar company llc pac","AMALGAMATED SUGAR CO",1362,82.3742597594
"AMALGAMATED SUGAR COMPANY LLC, THE","amalgamated sugar company llc the","AMALGAMATED SUGAR CO",1362,81.788392584
"AMAX INC","amax inc","AMAX INC",1365,100
"AMAZON.COM HOLDINGS INC","amazoncom holdings inc","AMAZON.COM INC",64768,85.1231075189
"AMAZON.COM HOLDINGS INC.","amazoncom holdings inc","AMAZON.COM INC",64768,85.1231075189
"AMBASE CORPORATION","ambase corp","AMBASE CORP",24010,100
"AMCORE FINANCIAL INC","amcore financial inc","AMCORE FINANCIAL INC",16643,100
"AMCORE Financial Inc.","amcore financial inc","AMCORE FINANCIAL INC",16643,100
"AMCORE Financial, Inc.","amcore financial inc","AMCORE FINANCIAL INC",16643,100
"AMCORE FINANCIAL, INC.","amcore financial inc","AMCORE FINANCIAL INC",16643,100
"AMEDISYS INC","amedisys inc","AMEDISYS INC",30612,100
"AMEREN CORPORATION","ameren corp","AMEREN CORP",10860,100
"AMERICA SERVICE GROUP INC","america service group inc","AMERICA SERVICE GROUP INC",24669,100
"America Service Group Inc.","america service group inc","AMERICA SERVICE GROUP INC",24669,100
"AMERICA WEST AIRLINES INC","america west airlines inc","AMERICAN AIRLINES INC",1388,82.8297321422
"AMERICAN AIRLINES","american airlines","AMERICAN AIRLINES INC",1388,98.5332744431
"American Airlines Inc.","american airlines inc","AMERICAN AIRLINES INC",1388,100
"AMERICAN AIRLINES INC.","american airlines inc","AMERICAN AIRLINES INC",1388,100
"AMERICAN APPAREL INC","american apparel inc","AMERICAN APPAREL INC",179110,100
"AMERICAN APPAREL, INC.","american apparel inc","AMERICAN APPAREL INC",179110,100
"AMERICAN BANCORP INC","american bancorp inc","AMERICAN BANCORP/NV",20208,81.0085532008
"AMERICAN BANK","american bank","AMERICAN BANK INC/PA",137370,86.4640967081
"AMERICAN BANKS OF FLORIDA INC","american banks of florida inc","FLORIDA BANKS INC",112965,84.7172488496
"AMERICAN BANKSHARES INC","american bankshares inc","AMERICAN NATL BANKSHARES",17367,87.9693377498
"American Beverage Association","american beverage association","AMERICAN BEVERAGE CORP",1396,81.2835615486
"AMERICAN BEVERAGE ASSOCIATION","american beverage association","AMERICAN BEVERAGE CORP",1396,81.2835615486
"AMERICAN CLASSIC VOYAGES CO","american classic voyages co","AMERICAN CLASSIC VOYAGES CO",3862,100
"AMERICAN COMMERCIAL LINES INC","american commercial lines inc","AMERICAN COMMERCIAL LINES",162897,98.8847958039
"AMERICAN COMMERCIAL LINES INC. PAC","american commercial lines inc pac","AMERICAN COMMERCIAL LINES",162897,93.2164338743
"AMERICAN CONTINENTAL CORPORATION","american continental corp","AMERICAN CONTINENTAL CORP",1426,100
"American Crystal Sugar Company","american crystal sugar co","AMERICAN CRYSTAL SUGAR CO",1429,100
"AMERICAN CRYSTAL SUGAR COMPANY","american crystal sugar co","AMERICAN CRYSTAL SUGAR CO",1429,100
"AMERICAN CRYSTAL SUGAR COMPAY","american crystal sugar compay","AMERICAN CRYSTAL SUGAR CO",1429,87.1086361834
"AMERICAN CYANAMID COMPANY","american cyanamid co","AMERICAN CYANAMID CO",1430,100
"American Electric Power","american electric power","AMERICAN ELECTRIC POWER CO",1440,98.0552640586
"AMERICAN ELECTRIC POWER","american electric power","AMERICAN ELECTRIC POWER CO",1440,98.0552640586
"AMERICAN ELECTRIC POWER COMPANY INC","american electric power company inc","AMERICAN ELECTRIC POWER CO",1440,83.4324942794
"AMERICAN ELECTRIC POWER SERVICE CORP","american electric power service corp","AMERICAN ELECTRIC POWER CO",1440,83.6050928878
"AMERICAN ENERGY CORPORATION","american energy corp","AMERICAN ENERGY DEV CORP",187316,83.4342555582
"American Express Company","american express co","AMERICAN EXPRESS CO",1447,100
"AMERICAN EXPRESS COMPANY","american express co","AMERICAN EXPRESS CO",1447,100
"AMERICAN FAMILY CORPORATION","american family corp","AMERICAN FAMILY INS GROUP",122954,82.0727829856
"AMERICAN FAMILY INS GRP","american family ins grp","AMERICAN FAMILY INS GROUP",122954,86.4085285722
"AMERICAN FAMILY INSURANCE GROUP","american family insurance group","AMERICAN FAMILY INS GROUP",122954,84.5842362833
"AMERICAN FINANCIAL GROUP INC","american financial group inc","AMERICAN FINANCIAL GROUP INC",8431,100
"AMERICAN FLETCHER CORPORATION","american fletcher corp","AMERICAN FLETCHER CORP",1458,100
"American General Corporation","american general corp","AMERICAN GENERAL CORP",1465,100
"AMERICAN GENERAL CORPORATION","american general corp","AMERICAN GENERAL CORP",1465,100
"AMERICAN HOMEPATIENT INC","american homepatient inc","AMERICAN HOMEPATIENT INC",24668,100
"AMERICAN HOSPITAL SUPPLY CORP","american hospital supply corp","AMERICAN HOSPITAL SUPPLY",1481,97.9027195798
"AMERICAN INTERNATIONAL GROUP INC","american intl group inc","AMERICAN INTERNATIONAL GROUP",1487,98.0813533431
"American International Group Inc.","american intl group inc","AMERICAN INTERNATIONAL GROUP",1487,98.0813533431
"AMERICAN INTERNATIONAL GROUP INC.","american intl group inc","AMERICAN INTERNATIONAL GROUP",1487,98.0813533431
"AMERICAN INTERNATIONAL GROUP, INC.","american intl group inc","AMERICAN INTERNATIONAL GROUP",1487,98.0813533431
"AMERICAN MANAGEMENT SYSTEMS INC","american management systems inc","AMERICAN MANAGEMENT SYSTEMS",1500,99.0318197015
"American Management Systems Inc.","american management systems inc","AMERICAN MANAGEMENT SYSTEMS",1500,99.0318197015
"AMERICAN MEDICAL INTERNATIONAL INC","american medical intl inc","AMERICAN MEDICAL TECH INC",13376,81.0995247097
"AMERICAN MEDICAL RESPONSE INC","american medical response inc","AMERICAN MEDICAL RESPONSE",25611,99.0147529529
"American Medical Response Inc., Politi","american medical response inc politi","AMERICAN MEDICAL RESPONSE",25611,86.9801844673
"American Medical Security Group Inc.","american medical security group inc","AMERICAN MEDICAL SECURITY GP",24618,82.3880069042
"AMERICAN MEDICAL SECURITY INC","american medical security inc","AMERICAN MEDICAL SECURITY GP",24618,89.3174264225
"American Medical Security Inc.","american medical security inc","AMERICAN MEDICAL SECURITY GP",24618,89.3174264225
"AMERICAN MOTORS CORPORATION","american motors corp","AMERICAN MOTORS CORP",1517,100
"AMERICAN NATIONAL INSURANCE COMPANY","american national insurance co","AMERICAN NATIONAL INSURANCE",1526,97.9533043881
"AMERICAN NATURAL RESOURCES CO","american natural resources co","AMERICAN NATURAL RESOURCES",1528,98.0482915292
"AMERICAN PETROFINA INC","american petrofina inc","PETROFINA",101289,83.5943406875
"American Pharmaceutical Association","american pharmaceutical association","AMERICAN PHARMACEUTICAL CO",28747,84.4412952937
"AMERICAN PIONEER CORPORATION","american pioneer corp","PIONEER CORP",8594,82.1837846125
"AMERICAN RICE INC","american rice inc","AMERICAN RICE INC",14617,100
"AMERICAN SAFETY RAZOR COMPANY","american safety razor co","AMERICAN SAFETY RAZOR",28389,98.6495441888
"AMERICAN SAVINGS BANK","american savings bank","AMERICAN SAVINGS BANK-NY",14488,90.9549664934
"AMERICAN SCIENCE & ENGINEERING INC","american science & engineering inc","AMERICAN SCIENCE ENGINEERING",1554,98.1088278823
"AMERICAN SCIENCE AND ENGINEERING INC","american science & engineering inc","AMERICAN SCIENCE ENGINEERING",1554,98.1088278823
"AMERICAN SEATING COMPANY","american seating co","AMERICAN SEATING CO",1555,100
"AMERICAN SECURITY BANK NA","american security bank na","AMERICAN SECURITY CORP",1556,82.5523929069
"AMERICAN SHIP BUILDING CO","american ship building co","AMERICAN SHIP BUILDING CO",1560,100
"AMERICAN STANDARD INC","american standard inc","AMERICAN STANDARD INC",115016,100
"AMERICAN STORES COMPANY","american stores co","AMERICAN STORES CO",1573,100
"AMERICAN WATER WORKS COMPANY INC","american water works company inc","AMERICAN WATER WORKS INC",1587,83.5435049489
"American Water Works Company Inc.","american water works company inc","AMERICAN WATER WORKS INC",1587,83.5435049489
"AMERICAN WATER WORKS COMPANY, INC.","american water works company inc","AMERICAN WATER WORKS INC",1587,83.5435049489
"AMERIGROUP CORPORATION","amerigroup corp","AMERIGROUP CORP",145367,100
"AMERIPATH INC","ameripath inc","AMERIPATH INC",65669,100
"AmeriPath Inc.","ameripath inc","AMERIPATH INC",65669,100
"Ameriprise Financial Inc.","ameriprise financial inc","AMERIPRISE FINANCIAL INC",164708,100
"AMERIPRISE FINANCIAL INC.","ameriprise financial inc","AMERIPRISE FINANCIAL INC",164708,100
"AmerisourceBergen Corporation","amerisourcebergen corp","AMERISOURCEBERGEN CORP",31673,100
"AMERISOURCEBERGEN CORPORATION","amerisourcebergen corp","AMERISOURCEBERGEN CORP",31673,100
"AMERISTAR CASINOS INC","ameristar casinos inc","AMERISTAR CASINOS INC",29143,100
"AMERITECH","ameritech","AMERITECH CORP",1485,93.3309242804
"AMERITRADE HOLDING CORPORATION","ameritrade holding corp","TD AMERITRADE HOLDING CORP",64552,90.634078088
"AMERITRUST CO","ameritrust co","AMERITRUST CORP",1595,93.1566250846
"AMERUS GROUP","amerus group","AMERUS GROUP CO  -CL A",64303,85.8009569477
"AMFAC INC","amfac inc","AMFAC INC",1599,100
"AMFM INC","amfm inc","AMFM INC",28250,100
"AMGEN INC","amgen inc","AMGEN INC",1602,100
"Amgen Inc.","amgen inc","AMGEN INC",1602,100
"AMGEN INC.","amgen inc","AMGEN INC",1602,100
"AMOCO CORPORATION","amoco corp","AMOCO CORP",1609,100
"AMP INCORPORATED","amp inc","AMP INC",1608,100
"AMSOUTH BANCORPORATION","amsouth bancorporation","AMSOUTH BANCORPORATION",1619,100
"AMSTED INDUSTRIES INC","amsted industries inc","AMSTED INDUSTRIES",1623,98.5575717625
"AMSTED INDUSTRIES INCORPORATED","amsted industries inc","AMSTED INDUSTRIES",1623,98.5575717625
"AMYLIN PHARMACEUTICALS INC","amylin pharmaceuticals inc","AMYLIN PHARMACEUTICALS INC",24843,100
"Amylin Pharmaceuticals, Inc.","amylin pharmaceuticals inc","AMYLIN PHARMACEUTICALS INC",24843,100
"AMYLIN PHARMACEUTICALS, INC.","amylin pharmaceuticals inc","AMYLIN PHARMACEUTICALS INC",24843,100
"Anadarko Petroleum Corporation","anadarko petroleum corp","ANADARKO PETROLEUM CORP",11923,100
"ANADARKO PETROLEUM CORPORATION","anadarko petroleum corp","ANADARKO PETROLEUM CORP",11923,100
"ANALYSIS & TECHNOLOGY INC","analysis & technology inc","ANALYSIS & TECHNOLOGY INC",12307,100
"ANCHOR HOCKING CORPORATION","anchor hocking corp","ANCHOR HOCKING CORP",1638,100
"ANDREWS","andrews","ANDREWS GROUP INC",3281,87.8604974219
"ANHEUSER-BUSCH COMPANIES INC","anheuser busch companies inc","ANHEUSER-BUSCH COS INC",1663,81.5771459979
"Anheuser-Busch Companies Inc.","anheuser busch companies inc","ANHEUSER-BUSCH COS INC",1663,81.5771459979
"ANHEUSER-BUSCH COMPANIES INC.","anheuser busch companies inc","ANHEUSER-BUSCH COS INC",1663,81.5771459979
"ANITEC IMAGE CORPORATION","anitec image corp","ANITEC IMAGE TECHNOLOGY CORP",1664,81.3287550857
"ANIXTER INTERNATIONAL","anixter intl","ANIXTER INTL INC",6196,98.5599383082
"ANSELL INCORPORATED","ansell inc","ANSELL LTD",14242,86.3916559077
"ANTEON CORPORATION","anteon corp","ANTEON CORP",145872,100
"Anteon PAC","anteon pac","ANTEON CORP",145872,83.364077756
"ANTHEM INC","anthem inc","ANTHEM INC",145046,100
"Anthem Insurance Companies Inc.","anthem insurance companies inc","ANTHEM INSURANCE",133604,81.0745920741
"ANTHEM, INC.","anthem inc","ANTHEM INC",145046,100
"APACHE CORPORATION","apache corp","APACHE CORP",1678,100
"APL LIMITED","apl ltd","APL LTD",1543,100
"APPALACHIAN POWER COMPANY","appalachian power co","APPALACHIAN POWER",1689,98.3865724685
"APPLETON PAPERS INC","appleton papers inc","APPLETON PAPERS INC",147565,100
"APPLIED MATERIALS INC","applied materials inc","APPLIED MATERIALS INC",1704,100
"APPLIED MATERIALS, INC.","applied materials inc","APPLIED MATERIALS INC",1704,100
"APPLIED SIGNAL TECHNOLOGY INC","applied signal technology inc","APPLIED SIGNAL TECHNOLOGY",27997,99.2371784748
"APRIA HEALTHCARE INC","apria healthcare inc","APRIA HEALTHCARE GROUP INC",23988,91.3260222621
"AQUA-CHEM, INC","aqua chem inc","AQUA-CHEM INC",145873,100
"Aqua America Inc.","aqua america inc","AQUA AMERICA INC",8542,100
"Aqua America, Inc.","aqua america inc","AQUA AMERICA INC",8542,100
"AQUA AMERICA, INC.","aqua america inc","AQUA AMERICA INC",8542,100
"ARAMARK","aramark","ARAMARK",186858,100
"Aramark Corporation","aramark corp","ARAMARK CORP",144519,100
"ARAMARK CORPORATION","aramark corp","ARAMARK CORP",144519,100
"ARBITRON INC","arbitron inc","ARBITRON INC",142748,100
"ARCATA CORPORATION","arcata corp","ARCATA CORP",1720,100
"ARCBEST CORPORATION","arcbest corp","ARCBEST CORP",1743,100
"ARCELORMITTAL USA INC","arcelormittal usa inc","ARCELORMITTAL",65248,89.731194515
"ARCELORMITTAL USA INC.","arcelormittal usa inc","ARCELORMITTAL",65248,89.731194515
"ARCELORMITTAL USA LLC","arcelormittal usa llc","ARCELORMITTAL",65248,83.3520337946
"ARCH CAPITAL GROUP (US) INC","arch capital group us inc","ARCH CAPITAL GROUP LTD",61302,86.6981454941
"ARCH CAPITAL GROUP (US) INC.","arch capital group us inc","ARCH CAPITAL GROUP LTD",61302,86.6981454941
"ARCH CHEMICALS INC","arch chemicals inc","ARCH CHEMICALS INC",117862,100
"ARCH COAL, INC.","arch coal inc","ARCH COAL INC",14793,100
"ARCHER-DANIELS-MIDLAND COMPANY","archer daniels midland co","ARCHER-DANIELS-MIDLAND CO",1722,100
"Archer Daniels Midland Company","archer daniels midland co","ARCHER-DANIELS-MIDLAND CO",1722,100
"ARCONIC INC.","arconic inc","ARCONIC INC",28192,100
